S_area;S
1.25;0.944699125
1.29512136;0.9448030764
1.341042719;0.9445622323
1.387764079;0.9446999964
1.435285438;0.9444549922
1.483606798;0.9446217949
1.532728157;0.9442771855
1.582649517;0.9442758061
1.633370876;0.9445035694
1.684892236;0.9446488167
1.737213595;0.9444335654
1.790334955;0.9439274291
1.844256315;0.9439831479
1.898977674;0.9438878024
1.954499034;0.9450176778
2.010820393;0.9442557193
2.067941753;0.9444294121
2.125863112;0.9448239163
2.184584472;0.9441592767
2.244105831;0.9446202196
2.304427191;0.9449953545
2.365548551;0.9447530167
2.42746991;0.9447846401
2.49019127;0.9448223951
2.553712629;0.9437845144
2.618033989;0.9447285606
2.683155348;0.9439579316
2.749076708;0.9446429616
2.815798067;0.9445211669
2.883319427;0.944423205
2.951640786;0.944032718
3.020762146;0.9442993091
3.090683506;0.9444050145
3.161404865;0.9437112824
3.232926225;0.9443387201
3.305247584;0.9447220602
3.378368944;0.9452662791
3.452290303;0.9439355716
3.527011663;0.9447971911
3.602533022;0.9444357341
3.678854382;0.9438317969
3.755975742;0.9448536331
3.833897101;0.944697166
3.912618461;0.9448378864
3.99213982;0.9452532776
4.07246118;0.9447666039
4.153582539;0.9451439686
4.235503899;0.9439087275
4.318225258;0.9443207269
4.401746618;0.9451531578
4.486067977;0.9448103281
4.571189337;0.9443770901
4.657110697;0.9451117162
4.743832056;0.9442460137
4.831353416;0.9442334308
4.919674775;0.9445770649
5.008796135;0.9447656384
5.098717494;0.9436583969
5.189438854;0.9449236442
5.280960213;0.9444263288
5.373281573;0.9449420735
5.466402933;0.945224703
5.560324292;0.9445717658
5.655045652;0.9444033684
5.750567011;0.9437278524
5.846888371;0.9440456126
5.94400973;0.9450060094
6.04193109;0.9447616597
6.140652449;0.9435806382
6.240173809;0.9434886952
6.340495168;0.9435519118
6.441616528;0.9444833427
6.543537888;0.9445282851
6.646259247;0.9442054723
6.749780607;0.9438866201
6.854101966;0.9445384318
6.959223326;0.9450423459
7.065144685;0.9451948384
7.171866045;0.9446638517
7.279387404;0.9440513775
7.387708764;0.9448598776
7.496830124;0.9436260077
7.606751483;0.9432402266
7.717472843;0.9451828232
7.828994202;0.9437492377
7.941315562;0.9440087989
8.054436921;0.9436086976
8.168358281;0.9461000979
8.28307964;0.9448500663
8.398601;0.9439851153
8.514922359;0.9436092205
8.632043719;0.9447659634
8.749965079;0.9443102312
8.868686438;0.9445071238
8.988207798;0.9438867548
9.108529157;0.9427145507
9.229650517;0.9458573539
9.351571876;0.9456337536
9.474293236;0.9432644243
9.597814595;0.9430399915
9.722135955;0.9435420444
9.847257315;0.9438477969
9.973178674;0.9438536512
10.09990003;0.9418156781
10.22742139;0.9446639589
10.35574275;0.9456978195
10.48486411;0.9430348904
10.61478547;0.9447127226
10.74550683;0.9458098403
10.87702819;0.9430057131
11.00934955;0.94547193
11.14247091;0.944181786
11.27639227;0.9443662787
11.41111363;0.943134247
11.54663499;0.9447537574
11.68295635;0.9448462434
11.82007771;0.9441062488
11.95799907;0.9452535187
12.09672043;0.9444635441
12.23624179;0.9443515379
12.37656315;0.94553477
12.51768451;0.94579994
12.65960587;0.94323685
12.80232722;0.9448283922
12.94584858;0.9453511741
13.09016994;0.944729346
13.2352913;0.9456681813
13.38121266;0.9464491573
13.52793402;0.9448193208
13.67545538;0.9434532563
13.82377674;0.9434243794
13.9728981;0.9457290595
14.12281946;0.9441189546
14.27354082;0.9445544185
14.42506218;0.9446554895
14.57738354;0.9448010439
14.7305049;0.9456718996
14.88442626;0.9444183345
15.03914762;0.9419033192
15.19466898;0.9426559908
15.35099034;0.9450023598
15.5081117;0.9452767879
15.66603306;0.9444487352
15.82475442;0.944745751
15.98427578;0.9437052481
16.14459713;0.9455196324
16.30571849;0.9442837249
16.46763985;0.9446365185
16.63036121;0.943964248
16.79388257;0.9436331473
16.95820393;0.943005021
17.12332529;0.9439883754
17.28924665;0.9449869989
17.45596801;0.9472062098
17.62348937;0.9443388168
17.79181073;0.9449301846
17.96093209;0.9438829032
18.13085345;0.9435930715
18.30157481;0.9431039419
18.47309617;0.9451630343
18.64541753;0.9451567245
18.81853889;0.9432943166
18.99246025;0.9434010824
19.16718161;0.9471577794
19.34270297;0.9457266447
19.51902433;0.9432939367
19.69614569;0.9441839838
19.87406704;0.9436107663
20.0527884;0.9429903958
20.23230976;0.9483652414
20.41263112;0.9454987848
20.59375248;0.9422774417
20.77567384;0.9446511915
20.9583952;0.9450161355
21.14191656;0.9448005383
21.32623792;0.9424661672
21.51135928;0.9443228588
21.69728064;0.9421284713
21.884002;0.9446163811
22.07152336;0.9451114589
22.25984472;0.9449370863
22.44896608;0.9410741274
22.63888744;0.9451101617
22.8296088;0.94574394
23.02113016;0.9440919435
23.21345152;0.9457926192
23.40657288;0.9442234905
23.60049424;0.9443194957
23.7952156;0.9441846367
23.99073695;0.9445513
24.18705831;0.9439313939
24.38417967;0.9434873105
24.58210103;0.9439625125
24.78082239;0.9444169661
24.98034375;0.9456783754
25.18066511;0.9461811181
25.38178647;0.9441567695
25.58370783;0.9423656445
25.78642919;0.9440257008
25.98995055;0.9447866824
26.19427191;0.9432793063
