N;random;reversed;sorted
500; 137.83;171.07;68.48
600; 171.16;233.04;85.88
700; 215.81;276.11;85.77
800; 248;345.05;99.47
900; 253.32;284;141.35
1000; 291.82;330.65;148.92
1100; 346.35;376.09;166.67
1200; 381.4;447.64;181.64
1300; 454.77;580.68;214.02
1400; 463.91;564.74;211.56
1500; 498.76;624.86;222.06
1600; 556.95;726.64;244.98
1700; 526.3;550.92;300.69
1800; 545.65;611.84;319.08
1900; 596.18;654.55;342.29
2000; 661.96;716.89;362.52
2100; 693.12;763;374.49
2200; 739.48;837.9;381.51
2300; 799.9;896.3;420.36
2400; 834.94;929.47;429.52
2500; 859.34;990.53;443.87
2600; 921.94;1063.8;458.42
2700; 943.85;1145.42;485.48
2800; 993.73;1238.54;504.92
2900; 1056.83;1282.37;515
3000; 1090.01;1362.9;516.75
3100; 1154.08;1422.37;535.06
3200; 1223.1;1504.34;558.05
3300; 1110.89;1159.99;680.49
3400; 1173.84;1210.27;702.3
3500; 1187.45;1254.64;703.85
3600; 1240.42;1309.71;739.75
3700; 1277.59;1357.08;759.16
3800; 1332.76;1419.95;766.61
3900; 1358.41;1478.74;788.77
4000; 1429.98;1546.8;809.51
4100; 1445.74;1610.91;839.24
4200; 1488.99;1645.55;850.7
4300; 1558.26;1703.02;869.77
4400; 1598.25;1758.6;883.34
4500; 1623;1817.1;911.53
4600; 1661.48;1900.37;924.74
4700; 1733.32;1939.01;940.05
4800; 1773.15;2045.33;975.65
4900; 1871.44;2088.93;991.43
5000; 1899.94;2146.8;1018.94
5100; 1946.12;2244.41;1040.63
5200; 1992.32;2297.28;1042.79
5300; 2037.61;2364.72;1080.75
5400; 2091.03;2440.41;1086.09
5500; 2165.14;2522.21;1118
5600; 2171.13;2589.67;1135.78
5700; 2263.63;2664.1;1157.47
5800; 2325.96;2704.1;1181.09
5900; 2366.43;2803.26;1197.77
6000; 2425.82;2860.22;1200.65
6100; 2479.17;2920.76;1244.33
6200; 2497.47;2980.64;1241.38
6300; 2595.57;3073.93;1288.5
6400; 2641;3188.29;1288.46
6500; 2456.58;2591.78;1458.28
6600; 2503.61;2542.56;1553.58
6700; 2514.42;2574.01;1575.41
6800; 2557.29;2606.87;1570.89
6900; 2589.49;2696.59;1597.59
7000; 2645.79;2722.66;1599.11
7100; 2699.81;2777.89;1647.78
7200; 2720.23;2821.31;1673.5
7300; 2781.43;2901.48;1688.11
7400; 2855.42;2962.68;1703.25
7500; 2870.66;2990.21;1718.97
7600; 2914.07;3024.63;1735.34
7700; 3001.33;3088.35;1752.56
7800; 3014.86;3174.03;1806.69
7900; 3091.82;3265.3;1818.32
8000; 3114.57;3288.45;1849.64
8100; 3183.37;3386.39;1852.79
8200; 3224.39;3418.75;1877.15
8300; 3268.67;3464.25;1913.98
8400; 3307.92;3525.23;1955.86
8500; 3368.39;3550.4;1954.19
8600; 3406.24;3646.46;1957.51
8700; 3474.26;3695.97;1991.97
8800; 3466.93;3725.54;1998.35
8900; 3607.36;3813.82;2020.1
9000; 3589.44;3866.31;2043.63
9100; 3702.81;3971.8;2083.92
9200; 3706.75;4073.9;2108.16
9300; 3759.55;4095.83;2134.01
9400; 3840.48;4126.9;2143.85
9500; 3891.26;4193.89;2181.52
9600; 3905.97;4303.42;2209.84
9700; 3990.3;4393.47;2243.09
9800; 4068.73;4490.58;2250.5
9900; 4083.22;4525.28;2427.79
10000; 4173.13;4725.38;2347.83
