N;random;reversed;sorted
500; 154.4;148.22;124.61
600; 186.93;158.02;158.11
700; 235.57;210.49;216.12
800; 307.03;237.39;221.94
900; 304.27;260.06;249.58
1000; 366.68;268.15;292.2
1100; 361.31;307.83;338.06
1200; 460.11;343.41;303.61
1300; 427.74;352.9;340.35
1400; 489.76;397.04;379.11
1500; 536.31;451.86;440.69
1600; 599.11;477.33;469.73
1700; 612.05;523.72;500.48
1800; 644.48;533.93;518.88
1900; 686.55;563.33;547.6
2000; 714.26;588.99;580.92
2100; 751.05;628.73;598.86
2200; 779.85;656.46;618.24
2300; 824.48;684.88;673.76
2400; 966.26;829.34;715.91
2500; 939.45;842.67;719.41
2600; 948.1;827.72;802.45
2700; 1099.85;912.47;921.58
2800; 1186.25;969.21;855.39
2900; 1179.41;1022.63;981.66
3000; 1234.32;1085.05;1024.78
3100; 1351.02;1146.43;1071.68
3200; 1318.56;1134.96;1164.11
3300; 1320.68;1088.24;1054.27
3400; 1329.82;1136.9;1184.8
3500; 1434.17;1135.99;1104.61
3600; 1405.36;1191.16;1137.98
3700; 1509.35;1322.08;1388.85
3800; 1677.84;1326.08;1275.47
3900; 1742.03;1284.41;1214.21
4000; 1597.9;1325.29;1366.61
4100; 1723.12;1361.61;1290.93
4200; 1693.38;1404.22;1315.99
4300; 1794.01;1399.19;1360.01
4400; 1707.45;1444.17;1366.74
4500; 1757.53;1471.82;1428.94
4600; 1777.4;1502.17;1452.03
4700; 1829.3;1516.33;1446.7
4800; 1866.35;1551.27;1456.55
4900; 1904.19;1575.12;1493.44
5000; 1936.29;1602.22;1527.19
5100; 1966.03;1635.69;1537.21
5200; 2024.49;1680.51;1598.34
5300; 2101.56;1766.48;1647.55
5400; 2133.52;1785.08;1713.42
5500; 2218.57;1847.07;1770.86
5600; 2275.15;1906.13;1831.35
5700; 2333.17;1948.67;1873.21
5800; 2461.02;2005.22;1936.18
5900; 2474.02;2069.29;2003.44
6000; 2547.1;2096.25;2053.43
6100; 2605.12;2143.28;2107.03
6200; 2683.5;2243.69;2212.07
6300; 2677.59;2229.04;2184.79
6400; 2730.34;2251.45;2212.43
6500; 2754.68;2299.5;2250.3
6600; 2843.33;2370.02;2283.71
6700; 2857.53;2381.79;2296.34
6800; 2895.17;2411.92;2389.8
6900; 3037.49;2424.82;2367.37
7000; 2955.43;2524.13;2451.4
7100; 3004.46;2501.43;2444.5
7200; 3051.91;2518.96;2502.16
7300; 3089.32;2561.56;2501.31
7400; 3127.3;2587.28;2510.36
7500; 3169.9;2626.01;2553.23
7600; 3236.54;2657.96;2581.13
7700; 3260.81;2700.67;2618.34
7800; 3281.47;2720.97;2642.14
7900; 3338.53;2769.27;2679.71
8000; 3383.37;2813.07;2711.63
8100; 3418.16;2839.03;2758.25
8200; 3501.94;2891.31;2757.66
8300; 3495.06;2894.33;2811.42
8400; 3529.08;2925.4;2815.75
8500; 3587.59;2961.32;2886.13
8600; 3612.51;3016.01;2974.15
8700; 3692.54;3027.47;2975.72
8800; 3723.14;3067.72;2950.62
8900; 3817.01;3110.39;2996.07
9000; 3795.22;3139.72;3019.17
9100; 3824.72;3205.8;3135.16
9200; 3877.31;3201.1;3081.27
9300; 3915.35;3253.81;3102.52
9400; 3954.63;3263.7;3136.11
9500; 3986.6;3296.41;3149.22
9600; 4019.34;3364.18;3179.96
9700; 4093.1;3470.42;3222.01
9800; 4131.84;3402.86;3244.31
9900; 4154.43;3428.96;3324.79
10000; 4169.73;3463.58;3316.05
