N;random;reversed;sorted
500; 138.5;135.28;92.97
600; 194.48;188.4;99.69
700; 195.72;188.74;135.93
800; 211.65;194.3;143.85
900; 245.53;223.69;165.76
1000; 274.39;256.93;186.44
1100; 304.8;300.76;203.38
1200; 356.05;361.12;219.44
1300; 371.25;372.42;254.11
1400; 437.01;394.54;303.96
1500; 453.95;399.79;312.87
1600; 469.32;442.16;332.24
1700; 504.14;469.17;350.58
1800; 534.54;512.33;367.06
1900; 575.06;556.53;390.55
2000; 610.09;591.45;406.39
2100; 642.86;610.73;428.55
2200; 671.15;652.57;452.95
2300; 731.55;689.18;476.57
2400; 740.83;729.94;485.61
2500; 800.58;776.29;510.58
2600; 827.54;800.03;547.8
2700; 877.9;787.05;637.42
2800; 915.96;799.15;656.55
2900; 972.23;851.13;680.2
3000; 976.36;879.59;710
3100; 1026.42;913.75;719.24
3200; 1044.83;960.22;755.78
3300; 1084.48;981.89;770.42
3400; 1121.54;1016.3;793.84
3500; 1157.35;1061.78;819.04
3600; 1190.72;1108.98;833.06
3700; 1244.1;1135.18;845.68
3800; 1266.41;1181.54;878.88
3900; 1305.41;1211.43;904.53
4000; 1341.76;1266.57;923.6
4100; 1386.92;1296.59;945.59
4200; 1428.62;1352.09;966
4300; 1447.85;1379.75;986.12
4400; 1499.48;1419.93;1020.69
4500; 1529.63;1484.75;1063.61
4600; 1574.07;1496.9;1062.41
4700; 1611.26;1551.6;1070.97
4800; 1653.47;1587.23;1097.78
4900; 1690.78;1628.57;1122.84
5000; 1743.78;1714.05;1144.89
5100; 1773.93;1729.67;1157.47
5200; 1820.74;1718.31;1247.85
5300; 1885.8;1715.18;1342.85
5400; 1967.27;1730.39;1424.15
5500; 1956.87;1727.36;1442.23
5600; 2028.11;1826.82;1497.97
5700; 2035.95;1807.96;1493.33
5800; 2086.67;1877.36;1505.76
5900; 2128.37;1877.33;1532.41
6000; 2165.64;1929.63;1577.38
6100; 2209.24;1963.15;1575.34
6200; 2250.66;1991.22;1614.31
6300; 2307.85;2089.59;1685.38
6400; 2316.87;2069.4;1654.65
6500; 2362.24;2127.79;1680.32
6600; 2393.57;2151.55;1709.68
6700; 2451.65;2189.09;1724.2
6800; 2467.2;2224.64;1751.39
6900; 2513.19;2263.75;1795.96
7000; 2570.51;2305.61;1814.64
7100; 2576.25;2418.59;1884.08
7200; 2641.45;2424.09;1856.87
7300; 2686.33;2410.76;1885.58
7400; 2717.49;2463.05;1891.02
7500; 2755.43;2503.96;1922.3
7600; 2823.46;2634.17;2016.54
7700; 2852.4;2618.16;1964.15
7800; 2870.85;2628.5;2016.45
7900; 2915.32;2671.82;2038.52
8000; 3015.56;2715.48;2045.81
8100; 3002.79;2768.5;2089.87
8200; 3053.69;2796.74;2103.33
8300; 3140.99;2842.98;2136.85
8400; 3115.57;2903.09;2148.84
8500; 3159.72;2936.81;2174.57
8600; 3265.68;2972.27;2219.02
8700; 3273.09;3017.29;2245.51
8800; 3284.84;3053.59;2260.89
8900; 3336.18;3146.68;2289.76
9000; 3381.94;3145.32;2291.8
9100; 3413.58;3210.6;2354.75
9200; 3454.87;3233.7;2347.76
9300; 3497;3285.17;2386.55
9400; 3535.95;3345.92;2468.4
9500; 3585.82;3370.66;2434.57
9600; 3624.19;3419.11;2467.29
9700; 3688.35;3534.94;2487.96
9800; 3737.14;3553.61;2581.76
9900; 3752.39;3562.99;2532.21
10000; 3832.03;3650.28;2616.71
